Date, Close/Last, Volume, Open, High, Low
2017-09-07,52.21,6045981,51.69,52.58,51.47
2017-09-06,51.67,8578954,50.54,52.04,49.76
2017-09-05,51.14,5115744,51.81,51.975,51.0
2017-09-01,52.19,3976821,52.35,52.49,51.91
2017-08-31,52.14,4514406,51.85,52.25,51.605
2017-08-30,51.52,4229143,51.35,51.62,50.97
2017-08-29,51.46,5505900,51.22,51.6125,50.9
2017-08-28,51.75,8367057,52.61,52.72,51.53
2017-08-25,52.68,8842475,50.9,52.91,50.84
2017-08-24,50.71,8503951,52.11,52.16,50.49
2017-08-23,51.72,13347220,53.25,53.32,51.675
2017-08-22,53.43,5357998,53.57,54.08,53.4
